pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,con_ppc_,con_ppc_sex,con_ppc_race,lab_ppc_,lab_ppc_sex,lab_ppc_race,ld_ppc_,ld_ppc_sex,ld_ppc_race,ukip_ppc_,ukip_ppc_sex,ukip_ppc_race,snp_ppc_,snp_ppc_sex,snp_ppc_race,pc_ppc_,pc_ppc_sex,pc_ppc_race,green_ppc_,green_ppc_sex,green_ppc_race,con_long_spend_percent,con_short_spend_percent,lab_long_spend_percent,lab_short_spend_percent,ldlong_spend_percent,ldshort_spend_percent,snplong_spend_percent,snpshort_spend_percent,pclong_spend_percent,pcshort_spend_percent,ukiplong_spend_percent,ukipshort_spend_percent,green_long_spend_percent,green_short_spend_percent
7,E14000530,Aldershot,12.31,1,1,England,South East,Borough,Conservative,50.59210669,18.33257561,8.824229828,NA,NA,17.86711697,4.383970903,NA,32.25953108,63.77329836,23369,8468,4076,NA,NA,8253,2025,NA,46191,114,72430,NA,3.872106687,6.24257561,-25.58577017,NA,NA,13.36711697,4.383970903,Conservative,46.72,12.09,34.41,NA,NA,4.5,0,NA,12.3,63.5,21203,5489,15617,NA,NA,2041,NA,NA,45384,71465,"Howarth, Gerald",Man,White,"Puffett, Gary John",Man,White,"Hilliar, Alan Richard",Man,White,"Walker, Bill (William)",Man,White,NA,NA,NA,NA,NA,NA,"Hewitt, Carl Robert",Man,White,4.78,60.54,2.36,16.18,0.62,20.57,NA,NA,NA,NA,1.28,4.42,0,2.46
8,E14000531,Aldridge-Brownhills,39.52,0,0,England,West Midlands,Borough,Conservative,52.04952275,22.3687875,3.367344355,NA,NA,19.62427526,2.091298073,0.498772059,29.68073525,65.59329071,20558,8835,1330,NA,NA,7751,826,NA,39497,105,60215,NA,-7.260477251,2.578787503,-14.32265564,NA,NA,19.62427526,-0.098701927,Conservative,59.31,19.79,17.69,NA,NA,0,2.19,NA,39.5,65.1,22913,7647,6833,NA,NA,NA,847,NA,38634,58970,"Morton, Wendy",Woman,White,"Fisher, John Gary",Man,White,"Garrett, Ian",Man,White,"Thompson, Anthony Stephen Geoffrey",Man,White,NA,NA,NA,NA,NA,NA,"Curzey, Martyn Joshua",Man,White,12.92,71.49,3.23,14.62,1.69,0,NA,NA,NA,NA,1.53,33.9,0,4.06
9,E14000532,Altrincham and Sale West,23.48,1,1,England,North West,Borough,Conservative,52.99404161,26.68606608,8.383316507,NA,NA,8.011164558,3.925411248,NA,26.30797553,70.64227881,26771,13481,4235,NA,NA,4047,1983,NA,50517,158,71511,NA,4.04404161,4.266066077,-17.08668349,NA,NA,4.851164558,3.925411248,Conservative,48.95,22.42,25.47,NA,NA,3.16,0,NA,23.5,69.3,24176,11073,12581,NA,NA,1563,NA,NA,49393,72208,"Brady, Graham Stuart",Man,White,"Wright, James Alexander",Man,White,"Brophy, Jane Elisabeth",Woman,White,"Frost, Chris",Man,NA,NA,NA,NA,NA,NA,NA,"Robertson-Brown, Nick",Man,White,7.97,63.88,3.05,12.63,9.97,40.96,NA,NA,NA,NA,0,0.11,0,2.4
11,E14000533,Amber Valley,1.16,1,1,England,East Midlands,County,Conservative,43.97926373,34.78137236,2.97482337,NA,NA,15.88686922,2.377671326,NA,9.197891375,65.77039275,20106,15901,1360,NA,NA,7263,1087,NA,45717,103,69510,NA,5.369263731,-2.668627644,-11.46517663,NA,NA,13.91686922,2.377671326,Conservative,38.61,37.45,14.44,NA,NA,1.97,0,6.95,1.2,65.5,17746,17210,6636,NA,NA,906,NA,3195,45958,70171,"Mills, Nigel John",Man,White,"Gillott, Kevin",Man,White,"Smith, Kate",Woman,White,"Bent, Stuart",Man,White,NA,NA,NA,NA,NA,NA,"Devine, John",Man,White,72.52,92.81,31.24,75.88,0,13.22,NA,NA,NA,NA,0,14.72,0,0
18,E14000534,Arundel and South Downs,29.82,1,1,England,South East,County,Conservative,60.78757724,11.19747862,7.192308373,NA,NA,14.43773572,6.384900048,NA,46.34984153,73.1169571,34331,6324,4062,NA,NA,8154,3606,NA,56477,242,77242,NA,3.027577244,2.55747862,-20.74769163,NA,NA,8.767735715,6.384900048,Conservative,57.76,8.64,27.94,NA,NA,5.67,0,NA,29.8,72.2,32333,4835,15642,NA,NA,3172,NA,NA,55982,76835,"Herbert, Nick",Man,White,"Wellbelove, Christopher Robin",Man,White,"Kapadia, Shweta",Woman,BME,"Grace, Peter",Man,White,NA,NA,NA,NA,NA,NA,"Thurston, Isabel Jane",Woman,White,19.89,78.93,0,20.02,0,6.29,NA,NA,NA,NA,19.4,76.9,0,5.57
19,E14000535,Ashfield,-11.49,1,-1,England,East Midlands,County,Labour,22.41768441,41.02174693,14.82840811,NA,NA,21.40943703,NA,0.322723534,18.60406252,61.49745106,10628,19448,7030,NA,NA,10150,NA,NA,47409,209,77091,NA,0.217684406,7.331746926,-18.47159189,NA,NA,19.46943703,NA,Labour,22.2,33.69,33.3,NA,NA,1.94,0,5.77,0.4,62.3,10698,16239,16047,NA,NA,933,NA,2781,48196,77379,"Harrison, Helen Jane",Woman,White,"De Piero, Gloria",Woman,White,"Smith, Philip Ashley",Man,White,"Ashcroft, Simon Paul",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,13.61,34.91,95.82,0,34.07,NA,NA,NA,NA,14.52,29.55,0,0
20,E14000536,Ashford,31.34,1,1,England,South East,County,Conservative,52.45415882,18.44105138,5.983755142,NA,NA,18.82102768,4.300006972,NA,33.63313114,67.35621118,30094,10580,3433,NA,NA,10798,2467,NA,57372,175,85177,NA,-1.685841177,1.761051384,-16.81624486,NA,NA,14.28102768,2.460006972,Conservative,54.14,16.68,22.8,NA,NA,4.54,1.84,NA,31.3,67.9,29878,9204,12581,NA,NA,2508,1014,NA,55185,81271,"Green, Damian Howard",Man,White,"Chilton, Brendan",Man,White,"Enever, Debbie",Woman,White,"O'Brien, Gerald Michael",Man,White,NA,NA,NA,NA,NA,NA,"Rossi, Mandy",Woman,White,15.66,52.13,0,7.84,0,7.53,NA,NA,NA,NA,7.53,16.09,0,6.71
21,E14000537,Ashton-under-Lyne,-23.66,0,0,England,North West,Borough,Labour,22.12343903,49.76103602,2.423043322,NA,NA,21.7585693,3.933912328,NA,27.637597,56.94511508,8610,19366,943,NA,NA,8468,1531,NA,38918,198,68343,NA,-2.626560974,1.351036024,-12.41695668,NA,NA,17.3685693,3.933912328,Labour,24.75,48.41,14.84,NA,NA,4.39,0,7.62,23.7,56.9,9510,18604,5703,NA,NA,1686,NA,2929,38432,67560,"Sutton, Tracy",Woman,White,"Rayner, Angela",Woman,White,"Hicks, Carly May",Woman,White,"Jackson, Maurice",Man,White,NA,NA,NA,NA,NA,NA,"Hughes, Charlotte Jane",Woman,White,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
22,E14000538,Aylesbury,23.73,1,1,England,South East,County,Conservative,50.67395659,15.14101662,10.61910175,NA,NA,19.71345567,3.85246937,NA,30.96050091,69.00205441,28083,8391,5885,NA,NA,10925,2135,NA,55419,235,80315,NA,-1.496043415,2.551016619,-17.82089825,NA,NA,12.91345567,3.85246937,Conservative,52.17,12.59,28.44,NA,NA,6.8,0,NA,23.7,68.2,27736,6695,15118,NA,NA,3613,NA,NA,53162,77844,"Lidington, David Roy",Man,White,"Cass, Will",Man,White,"Lambert, Steven Michael",Man,White,"Adams, Chris",Man,White,NA,NA,NA,NA,NA,NA,"Lyons, David Richard",Man,White,49.65,94.54,2.75,19.59,3.12,19.46,NA,NA,NA,NA,15.13,80.31,0.06,6.03
26,E14000539,Banbury,32.4,0,0,England,South East,County,Conservative,53.00820576,21.29706247,5.930216522,NA,NA,13.87739622,4.630395807,1.256723211,31.71114329,67.12335108,30749,12354,3440,NA,NA,8050,2686,NA,58008,183,86420,NA,0.198205765,2.137062474,-14.47978348,NA,NA,8.887396221,2.920395807,Conservative,52.81,19.16,20.41,NA,NA,4.99,1.71,NA,32.4,64.7,29703,10773,11476,NA,NA,2806,959,NA,56241,84379,"Prentis, Victoria Mary Boswell",Woman,White,"Woodcock, Sean",Man,White,"Howson, John Orrell",Man,White,"Bird, Kenrick (Dickie)",Man,White,NA,NA,NA,NA,NA,NA,"Middleton, Ian Michael",Man,White,19.09,76.77,1.18,18.33,0,6.51,NA,NA,NA,NA,3.76,4.59,4.21,1.39
