pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_17,con_17,lab_17,ld_17,snp_17,pc_17,ukip_17,green_17,other_17,majority_17,turnout_17,con_vote_17,lab_vote_17,ld_vote_17,snp_vote_17,pc_vote_17,ukip_vote_17,green_vote_17,total_vote_17,rejected_vote_17,electorate_17,seat_change_1517,con_1517,lab_1517,ld_1517,snp_1517,pc_1517,ukip_1517,green_1517,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,leave_hanretty,remain_hanretty,con_ppc_17,con_ppc_sex_17,lab_ppc_17,lab_ppc_sex_17,ld_ppc_17,ld_ppc_sex_17,snp_ppc_17,snp_ppc_sex_17,pc_ppc_17,pc_ppc_sex_17,ukip_ppc_17,ukip_ppc_sex_17,green_ppc_17,green_ppc_sex_17,con_ppc_15,con_ppc_sex_15,con_ppc_race_15,lab_ppc_15,lab_ppc_sex_15,lab_ppc_race_15,ld_ppc_15,ld_ppc_sex_15,ld_ppc_race_15,snp_ppc_15,snp_ppc_sex_15,snp_ppc_race_15,pc_ppc_15,pc_ppc_sex_15,pc_ppc_race_15,ukip_ppc_15,ukip_ppc_sex_15,ukip_ppc_race_15,green_ppc_15,green_ppc_sex_15,green_ppc_race_15
7,E14000530,Aldershot,32.25953108,0,0,England,South East,Borough,Conservative,55.05617978,31.61797753,7.430030644,NA,NA,3.669050051,2.226762002,NA,23.43820225,64.23463027,26950,15477,3637,NA,NA,1796,1090,48950,102,76205,NA,4.464073088,13.28540192,-1.394199185,NA,NA,-14.19806692,-2.157208901,Conservative,50.59210669,18.33257561,8.824229828,NA,NA,17.86711697,4.383970903,NA,32.25953108,63.77329836,23369,8468,4076,NA,NA,8253,2025,NA,46191,114,72430,NA,3.872106687,6.24257561,-25.58577017,NA,NA,13.36711697,4.383970903,Conservative,46.72,12.09,34.41,NA,NA,4.5,NA,NA,12.3,63.5,21203,5489,15617,NA,NA,2041,NA,NA,45384,71465,57.89776574,42.10223426,"Docherty, Leo",Man,"Puffett, Gary",Man,"Hilliar, Alan",Man,NA,NA,NA,NA,"Swales, Roy",Man,"Wallace, Donna",Woman,"Howarth, Gerald",Man,White,"Puffett, Gary John",Man,White,"Hilliar, Alan Richard",Man,White,NA,NA,NA,NA,NA,NA,"Walker, Bill (William)",Man,White,"Hewitt, Carl Robert",Man,White
8,E14000531,Aldridge-Brownhills,29.68073525,1,1,England,West Midlands,Borough,Conservative,65.40822667,29.8496334,3.337889897,NA,NA,NA,NA,1.404250031,35.55859326,66.65507016,26317,12010,1343,NA,NA,NA,NA,40235,87,60363,NA,13.35870392,7.480845901,-0.029454458,NA,NA,-19.62427526,-2.091298073,Conservative,52.04952275,22.3687875,3.367344355,NA,NA,19.62427526,2.091298073,0.498772059,29.68073525,65.59329071,20558,8835,1330,NA,NA,7751,826,NA,39497,105,60215,NA,-7.260477251,2.578787503,-14.32265564,NA,NA,19.62427526,-0.098701927,Conservative,59.31,19.79,17.69,NA,NA,NA,2.19,NA,39.5,65.1,22913,7647,6833,NA,NA,NA,847,NA,38634,58970,67.79634958,32.20365042,"Morton, Wendy",Woman,"Fisher, John",Man,"Garrett, Ian",Man,NA,NA,NA,NA,NA,NA,NA,NA,"Morton, Wendy",Woman,White,"Fisher, John Gary",Man,White,"Garrett, Ian",Man,White,NA,NA,NA,NA,NA,NA,"Thompson, Anthony Stephen Geoffrey",Man,White,"Curzey, Martyn Joshua",Man,White
9,E14000532,Altrincham and Sale West,26.30797553,1,1,England,North West,Borough,Conservative,51.01913241,38.84637242,7.673801856,NA,NA,NA,1.894298163,0.566395151,12.17275999,72.09187993,26933,20507,4051,NA,NA,NA,1000,52790,132,73226,NA,-1.974909198,12.16030634,-0.709514651,NA,NA,-8.011164558,-2.031113085,Conservative,52.99404161,26.68606608,8.383316507,NA,NA,8.011164558,3.925411248,NA,26.30797553,70.64227881,26771,13481,4235,NA,NA,4047,1983,NA,50517,158,71511,NA,4.04404161,4.266066077,-17.08668349,NA,NA,4.851164558,3.925411248,Conservative,48.95,22.42,25.47,NA,NA,3.16,NA,NA,23.5,69.3,24176,11073,12581,NA,NA,1563,NA,NA,49393,72208,38.58779999,61.41220001,"Brady, Graham",Man,"Western, Andrew",Man,"Brophy, Jane",Woman,NA,NA,NA,NA,NA,NA,"Coggins, Geraldine",Woman,"Brady, Graham Stuart",Man,White,"Wright, James Alexander",Man,White,"Brophy, Jane Elisabeth",Woman,White,NA,NA,NA,NA,NA,NA,"Frost, Chris",Man,NA,"Robertson-Brown, Nick",Man,White
11,E14000533,Amber Valley,9.197891375,1,1,England,East Midlands,County,Conservative,56.54755408,38.4296348,2.401170025,NA,NA,NA,1.418873196,1.202767894,18.11791928,67.30478219,25905,17605,1100,NA,NA,NA,650,45811,99,68065,NA,12.56829035,3.648262448,-0.573653345,NA,NA,-15.88686922,-0.958798129,Conservative,43.97926373,34.78137236,2.97482337,NA,NA,15.88686922,2.377671326,NA,9.197891375,65.77039275,20106,15901,1360,NA,NA,7263,1087,NA,45717,103,69510,NA,5.369263731,-2.668627644,-11.46517663,NA,NA,13.91686922,2.377671326,Conservative,38.61,37.45,14.44,NA,NA,1.97,NA,6.95,1.2,65.5,17746,17210,6636,NA,NA,906,NA,3195,45958,70171,65.29912472,34.70087528,"Mills, Nigel",Man,"Dawson, James",Man,"Smith, Kate",Woman,NA,NA,NA,NA,NA,NA,"McGuinness, Matt",Man,"Mills, Nigel John",Man,White,"Gillott, Kevin",Man,White,"Smith, Kate",Woman,White,NA,NA,NA,NA,NA,NA,"Bent, Stuart",Man,White,"Devine, John",Man,White
18,E14000534,Arundel and South Downs,46.34984153,1,1,England,South East,County,Conservative,62.35561604,22.71972916,7.937798725,NA,NA,2.76818906,4.218667021,-1.42109E-14,39.63588688,75.81469086,37573,13690,4783,NA,NA,1668,2542,60256,154,79478,NA,1.568038794,11.52225054,0.745490352,NA,NA,-11.66954666,-2.166233027,Conservative,60.78757724,11.19747862,7.192308373,NA,NA,14.43773572,6.384900048,NA,46.34984153,73.1169571,34331,6324,4062,NA,NA,8154,3606,NA,56477,242,77242,NA,3.027577244,2.55747862,-20.74769163,NA,NA,8.767735715,6.384900048,Conservative,57.76,8.64,27.94,NA,NA,5.67,NA,NA,29.8,72.2,32333,4835,15642,NA,NA,3172,NA,NA,55982,76835,49.70110581,50.29889419,"Herbert, Nick",Man,"Fife, Caroline",Woman,"Kapadia, Shweta",Woman,NA,NA,NA,NA,"Wallace, John",Man,"Prior, Johanna",Woman,"Herbert, Nick",Man,White,"Wellbelove, Christopher Robin",Man,White,"Kapadia, Shweta",Woman,BME,NA,NA,NA,NA,NA,NA,"Grace, Peter",Man,White,"Thurston, Isabel Jane",Woman,White
19,E14000535,Ashfield,-18.60406252,1,-1,England,East Midlands,County,Labour,41.69383714,42.57596063,1.938271358,NA,NA,3.770527874,0.796111456,9.225291541,0.882123497,64.03120037,20844,21285,969,NA,NA,1885,398,49993,62,78076,NA,19.27615273,1.554213709,-12.89013675,NA,NA,-17.63890915,NA,Labour,22.41768441,41.02174693,14.82840811,NA,NA,21.40943703,0,0.322723534,18.60406252,61.49745106,10628,19448,7030,NA,NA,10150,NA,NA,47409,209,77091,NA,0.217684406,7.331746926,-18.47159189,NA,NA,19.46943703,NA,Labour,22.2,33.69,33.3,NA,NA,1.94,NA,5.77,0.4,62.3,10698,16239,16047,NA,NA,933,NA,2781,48196,77379,70.47288884,29.52711116,"Harper, Tony",Man,"De Piero, Gloria",Woman,"Charlesworth, Bob",Man,NA,NA,NA,NA,"Young, Ray",Man,"Rangi, Arran",Man,"Harrison, Helen Jane",Woman,White,"De Piero, Gloria",Woman,White,"Smith, Philip Ashley",Man,White,NA,NA,NA,NA,NA,NA,"Ashcroft, Simon Paul",Man,White,NA,NA,NA
20,E14000536,Ashford,33.63313114,1,1,England,South East,County,Conservative,58.98228093,29.79341672,5.178777201,NA,NA,3.704136676,2.341388467,NA,29.18886421,68.52163365,35318,17840,3101,NA,NA,2218,1402,59879,135,87387,NA,6.52812211,11.35236534,-0.804977941,NA,NA,-15.116891,-1.958618505,Conservative,52.45415882,18.44105138,5.983755142,NA,NA,18.82102768,4.300006972,NA,33.63313114,67.35621118,30094,10580,3433,NA,NA,10798,2467,NA,57372,175,85177,NA,-1.685841177,1.761051384,-16.81624486,NA,NA,14.28102768,2.460006972,Conservative,54.14,16.68,22.8,NA,NA,4.54,1.84,NA,31.3,67.9,29878,9204,12581,NA,NA,2508,1014,NA,55185,81271,59.86194744,40.13805256,"Green, Damian",Man,"Gathern, Sally",Woman,"Gee-Turner, Adrian",Man,NA,NA,NA,NA,"O'Brien, Gerald",Man,"Rossi, Mandy",Woman,"Green, Damian Howard",Man,White,"Chilton, Brendan",Man,White,"Enever, Debbie",Woman,White,NA,NA,NA,NA,NA,NA,"O'Brien, Gerald Michael",Man,White,"Rossi, Mandy",Woman,White
21,E14000537,Ashton-under-Lyne,-27.637597,1,-1,England,North West,Borough,Labour,31.9563523,60.35501471,1.624217434,NA,NA,4.721796193,1.342619365,-1.42109E-14,28.39866241,60.49033475,12710,24005,646,NA,NA,1878,534,39773,82,65751,NA,9.832913274,10.59397868,-0.798825888,NA,NA,-17.03677311,-2.591292964,Labour,22.12343903,49.76103602,2.423043322,NA,NA,21.7585693,3.933912328,NA,27.637597,56.94511508,8610,19366,943,NA,NA,8468,1531,NA,38918,198,68343,NA,-2.626560974,1.351036024,-12.41695668,NA,NA,17.3685693,3.933912328,Labour,24.75,48.41,14.84,NA,NA,4.39,NA,7.62,23.7,56.9,9510,18604,5703,NA,NA,1686,NA,2929,38432,67560,61.80980255,38.19019745,"Rankin, Jack",Man,"Rayner, Angela",Woman,"Hicks, Carly",Woman,NA,NA,NA,NA,"Jackson, Maurice",Man,"Hunter-Rossall, Andy",Man,"Sutton, Tracy",Woman,White,"Rayner, Angela",Woman,White,"Hicks, Carly May",Woman,White,NA,NA,NA,NA,NA,NA,"Jackson, Maurice",Man,White,"Hughes, Charlotte Jane",Woman,White
22,E14000538,Aylesbury,30.96050091,1,1,England,South East,County,Conservative,54.96997431,30.0375959,9.628634129,NA,NA,2.204719051,2.104349897,1.054726707,24.93237841,71.2124149,32313,17657,5660,NA,NA,1296,1237,58783,122,82546,NA,4.296017727,14.89657928,-0.990467623,NA,NA,-17.50873662,-1.748119473,Conservative,50.67395659,15.14101662,10.61910175,NA,NA,19.71345567,3.85246937,NA,30.96050091,69.00205441,28083,8391,5885,NA,NA,10925,2135,NA,55419,235,80315,NA,-1.496043415,2.551016619,-17.82089825,NA,NA,12.91345567,3.85246937,Conservative,52.17,12.59,28.44,NA,NA,6.8,NA,NA,23.7,68.2,27736,6695,15118,NA,NA,3613,NA,NA,53162,77844,51.78790984,48.21209016,"Lidington, David",Man,"Bateman, Mark",Man,"Lambert, Steven",Man,NA,NA,NA,NA,"Srao, Vijay",Man,"Simpson, Coral",Woman,"Lidington, David Roy",Man,White,"Cass, Will",Man,White,"Lambert, Steven Michael",Man,White,NA,NA,NA,NA,NA,NA,"Adams, Chris",Man,White,"Lyons, David Richard",Man,White
26,E14000539,Banbury,31.71114329,1,1,England,South East,County,Conservative,54.23475521,34.09408401,5.607355187,NA,NA,2.568142685,1.989863877,1.505799032,20.14067119,73.44197366,33388,20989,3452,NA,NA,1581,1225,61562,115,83824,NA,1.226549441,12.79702154,-0.322861335,NA,NA,-11.30925354,-2.64053193,Conservative,53.00820576,21.29706247,5.930216522,NA,NA,13.87739622,4.630395807,1.256723211,31.71114329,67.12335108,30749,12354,3440,NA,NA,8050,2686,NA,58008,183,86420,NA,0.198205765,2.137062474,-14.47978348,NA,NA,8.887396221,2.920395807,Conservative,52.81,19.16,20.41,NA,NA,4.99,1.71,NA,32.4,64.7,29703,10773,11476,NA,NA,2806,959,NA,56241,84379,50.34779774,49.65220226,"Prentis, Victoria",Woman,"Woodcock, Sean",Man,"Howson, John",Man,NA,NA,NA,NA,"Bird, Dickie",Man,"Middleton, Ian",Man,"Prentis, Victoria Mary Boswell",Woman,White,"Woodcock, Sean",Man,White,"Howson, John Orrell",Man,White,NA,NA,NA,NA,NA,NA,"Bird, Kenrick (Dickie)",Man,White,"Middleton, Ian Michael",Man,White
