ons_const_id,ons_region_id,constituency_name,Lab_Margin,intermediate_step,Incumbency_Status,county,region,country,constituency_type,seat_change_1719,winner_19,electorate_19,total_vote_19,rejected_vote_19,majority_19,con_vote_19,lab_vote_19,ld_vote_19,brexit_vote_19,green_vote_19,snp_vote_19,pc_vote_19,dup_vote_19,sf_vote_19,sdlp_vote_19,uup_vote_19,alliance_vote_19,other_vote_19,speaker_vote_19,turnout_19,con_19,lab_19,ld_19,brexit_19,green_19,snp_19,pc_19,dup_19,sf_19,sdlp_19,uup_19,alliance_19,other_19,speaker_19,pano,winner_17,con_17,lab_17,ld_17,snp_17,pc_17,ukip_17,green_17,other_17,majority_17,turnout_17,con_vote_17,lab_vote_17,ld_vote_17,snp_vote_17,pc_vote_17,ukip_vote_17,green_vote_17,total_vote_17,rejected_vote_17,electorate_17,leave_hanretty,remain_hanretty,majority_vote_17,alliance_vote_17,dup_vote_17,sdlp_vote_17,sf_vote_17,uup_vote_17,other_vote_17,alliance_17,dup_17,sf_17,sdlp_17,uup_17,con_1719,lab_1719,ld_1719,green_1719,snp_1719,pc_1719,uup_1719,dup_1719,alliance_1719,sf_1719,sdlp_1719,green_ppc_19,ld_ppc_19,lab_ppc_19,ukip_ppc_19,pc_ppc_19,con_ppc_19,speaker_ppc_19,sdlp_ppc_19,snp_ppc_19,dup_ppc_19,brexit_ppc_19,alliance_ppc_19,uup_ppc_19,green_ppc_sex_19,ld_ppc_sex_19,lab_ppc_sex_19,ukip_ppc_sex_19,pc_ppc_sex_19,con_ppc_sex_19,speaker_ppc_sex_19,sdlp_ppc_sex_19,snp_ppc_sex_19,dup_ppc_sex_19,brexit_ppc_sex_19,alliance_ppc_sex_19,uup_ppc_sex_19
E14000530,E12000008,Aldershot,-23.43820225,1,-1,Hampshire,South East,England,Borough,NA,Conservative,72617,47932,251,16698,27980,11282,6920,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.35223157,58.37436368,23.53751147,14.43711925,NA,3.651005591,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Conservative,55.05617978,31.61797753,7.430030644,NA,NA,3.669050051,2.226762002,NA,23.43820225,64.23463027,26950,15477,3637,NA,NA,1796,1090,48950,102,76205,57.89776574,42.10223426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.318183907,-8.080466054,7.007088609,1.424243589,NA,NA,NA,NA,NA,NA,NA,Donna Wallace,Alan Hilliar,Howard James Kaye,NA,NA,Leo Docherty,NA,NA,NA,NA,NA,NA,NA,Female,Male,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000531,E12000005,Aldridge-Brownhills,-35.55859326,1,-1,West Midlands,West Midlands,England,Borough,NA,Conservative,60138,39342,152,19836,27850,8014,2371,NA,771,NA,NA,NA,NA,NA,NA,NA,336,NA,65.67228707,70.78948706,20.37008795,6.026638198,NA,1.959737685,NA,NA,NA,NA,NA,NA,NA,0.854049108,NA,8,Conservative,65.40822667,29.8496334,3.337889897,NA,NA,0,0,1.404250031,35.55859326,66.65507016,26317,12010,1343,NA,NA,NA,NA,40235,87,60363,67.79634958,32.20365042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.381260394,-9.479545457,2.688748302,NA,NA,NA,NA,NA,NA,NA,NA,Bill McComish,Ian Garrett,David Huw Morgan,NA,NA,Wendy Morton,NA,NA,NA,NA,NA,NA,NA,Male,Male,Male,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA
E14000532,E12000002,Altrincham and Sale West,-12.17275999,1,-1,Greater Manchester,North West,England,Borough,NA,Conservative,73107,54763,173,6139,26311,20172,6036,NA,1566,NA,NA,NA,NA,NA,NA,NA,678,NA,75.14465099,48.04521301,36.83508939,11.02204043,NA,2.859594982,NA,NA,NA,NA,NA,NA,NA,1.238062195,NA,9,Conservative,51.01913241,38.84637242,7.673801856,NA,NA,0,1.894298163,0.566395151,12.17275999,72.09187993,26933,20507,4051,NA,NA,NA,1000,52790,132,73226,38.58779999,61.41220001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.973919403,-2.011283034,3.348238572,0.965296819,NA,NA,NA,NA,NA,NA,NA,Geraldine Coggins,Angela Smith,Andrew Western,NA,NA,Graham Brady,NA,NA,NA,NA,NA,NA,NA,Female,Female,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000533,E12000004,Amber Valley,-18.11791928,1,-1,Derbyshire,East Midlands,England,County,NA,Conservative,69976,45567,151,16886,29096,12210,2873,NA,1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.33382874,63.85322712,26.79570742,6.305001426,NA,3.046064038,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Conservative,56.54755408,38.4296348,2.401170025,NA,NA,0,1.418873196,1.202767894,18.11791928,67.30478219,25905,17605,1100,NA,NA,NA,650,45811,99,68065,65.29912472,34.70087528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.305673035,-11.63392738,3.903831402,1.627190841,NA,NA,NA,NA,NA,NA,NA,Lian Pizzey,Kate Smith,Adam Thompson,NA,NA,Nigel Mills,NA,NA,NA,NA,NA,NA,NA,NA,Female,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000534,E12000008,Arundel and South Downs,-39.63588688,0,0,West Sussex,South East,England,County,NA,Conservative,81726,61408,287,22521,35566,9722,13045,NA,2519,NA,NA,NA,NA,NA,NA,NA,556,NA,75.49005213,57.91753517,15.83181344,21.2431605,NA,4.102071391,NA,NA,NA,NA,NA,NA,NA,0.905419489,NA,18,Conservative,62.35561604,22.71972916,7.937798725,NA,NA,2.76818906,4.218667021,-1.42109E-14,39.63588688,75.81469086,37573,13690,4783,NA,NA,1668,2542,60256,154,79478,49.70110581,50.29889419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.438080864,-6.887915711,13.30536177,-0.116595629,NA,NA,NA,NA,NA,NA,NA,Isabel Thurston,Alison Bennett,Bella Sankey,NA,NA,Andrew Griffith,NA,NA,NA,NA,NA,NA,NA,Female,Female,Female,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000535,E12000004,Ashfield,0.882123497,0,0,Nottinghamshire,East Midlands,England,County,Conservative gain from Labour,Conservative,78204,48980,118,5733,19231,11971,1105,2501,674,NA,NA,NA,NA,NA,NA,NA,13498,NA,62.78195489,39.26296448,24.440588,2.256022866,5.106165782,1.376071866,NA,NA,NA,NA,NA,NA,NA,27.55818702,NA,19,Labour,41.69383714,42.57596063,1.938271358,NA,NA,3.770527874,0.796111456,9.225291541,0.882123497,64.03120037,20844,21285,969,NA,NA,1885,398,49993,62,78076,70.47288884,29.52711116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.430872662,-18.13537264,0.317751508,0.57996041,NA,NA,NA,NA,NA,NA,NA,Rose Woods,Rebecca Wain,Natalie Fleet,NA,NA,Lee Anderson,NA,NA,NA,NA,Martin Daubney,NA,NA,Female,Female,Female,NA,NA,Male,NA,NA,NA,NA,Male,NA,NA
E14000536,E12000008,Ashford,-29.18886421,1,-1,Kent,South East,England,County,NA,Conservative,89553,60059,279,24029,37270,13241,6048,NA,2638,NA,NA,NA,NA,NA,NA,NA,862,NA,67.37686063,62.05564528,22.04665412,10.07009774,NA,4.392347525,NA,NA,NA,NA,NA,NA,NA,1.435255332,NA,20,Conservative,58.98228093,29.79341672,5.178777201,NA,NA,3.704136676,2.341388467,NA,29.18886421,68.52163365,35318,17840,3101,NA,NA,2218,1402,59879,135,87387,59.86194744,40.13805256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.073364349,-7.7467626,4.891320537,2.050959058,NA,NA,NA,NA,NA,NA,NA,Mandy Rossi,Adrian Gee-Turner,Dara Farrell,NA,NA,Damian Green,NA,NA,NA,NA,NA,NA,NA,Female,Male,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000537,E12000002,Ashton-Under-Lyne,28.39866241,1,1,Greater Manchester,North West,England,Borough,NA,Labour,67978,38579,125,4263,14281,18544,1395,3151,1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.93606755,37.01754841,48.06760154,3.615956868,8.167655979,3.131237202,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Labour,31.9563523,60.35501471,1.624217434,NA,NA,4.721796193,1.342619365,-1.42109E-14,28.39866241,60.49033475,12710,24005,646,NA,NA,1878,534,39773,82,65751,61.80980255,38.19019745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.061196108,-12.28741316,1.991739434,1.788617837,NA,NA,NA,NA,NA,NA,NA,Lee Huntbach,George Rice,Angela Rayner,NA,NA,Dan Costello,NA,NA,NA,NA,Derek Brocklehurst,NA,NA,Male,Male,Female,NA,NA,Male,NA,NA,NA,NA,Male,NA,NA
E14000538,E12000008,Aylesbury,-24.93237841,0,0,Buckinghamshire,South East,England,County,NA,Conservative,86665,60576,279,17373,32737,15364,10081,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.21865805,54.04285526,25.36318014,16.64190438,NA,3.952060222,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Conservative,54.96997431,30.0375959,9.628634129,NA,NA,2.204719051,2.104349897,1.054726707,24.93237841,71.2124149,32313,17657,5660,NA,NA,1296,1237,58783,122,82546,51.78790984,48.21209016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.927119056,-4.674415766,7.013270256,1.847710325,NA,NA,NA,NA,NA,NA,NA,Coral Simpson,Steven Lambert,Liz Hind,NA,NA,Rob Butler,NA,NA,NA,NA,NA,NA,NA,Female,Male,Female,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000539,E12000008,Banbury,-20.14067119,1,-1,Oxfordshire,South East,England,County,NA,Conservative,90116,62921,355,16813,34148,17335,8831,NA,2607,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.21616583,54.271229,27.55042037,14.03505984,NA,4.143290793,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,Conservative,54.23475521,34.09408401,5.607355187,NA,NA,2.568142685,1.989863877,1.505799032,20.14067119,73.44197366,33388,20989,3452,NA,NA,1581,1225,61562,115,83824,50.34779774,49.65220226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036473795,-6.543663644,8.42770465,2.153426916,NA,NA,NA,NA,NA,NA,NA,Ian Middleton,Tim Bearder,Suzette Elizabeth Watson,NA,NA,Victoria Prentis,NA,NA,NA,NA,NA,NA,NA,Male,Male,Female,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA
